id,title,url,group_id,thumbnail_url,icon,color_gradient,clicks,enabled,display_order,is_internal,created_at,updated_at,subtitle,is_featured,card_height,event_id,card_width,override_date,override_time,manual_order_override
"61c54b6a-484e-49aa-814c-9f8d72d26887","Compre com Taxa Reduzida via PIX","http://bit.ly/Contato_MD","8743ca78-8de4-4887-a8d2-2fd8728fabb7","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/link-thumbnails/55cea223-8370-4d87-9b51-872b1c6c2201.jpeg","ExternalLink","from-indigo-500 to-purple-500",77,true,5,false,"2025-12-10T12:04:07.290247+00:00","2026-02-17T20:08:32.337246+00:00","Desconto de 5% via PIX",false,"","",700,"","",true
"2128169a-c1f5-40af-b645-a75cf9008c63","Todayland","https://bit.ly/MDAccula_1212_Todayland","e53696d1-d834-48da-a140-1feb43efd00d","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1763519102389-k0abs.jpeg","Calendar","",0,true,1765576800,false,"2025-11-19T02:25:18.727527+00:00","2025-12-25T21:02:51.987617+00:00","🎟️ Compre 5% OFF pelo link",false,"","caf148bd-ac1e-49fa-9ae8-cb5e14872bbf",700,"","",false
"bf88e6c5-efc8-40b2-abae-569a28d2efec","🔵 Sirius | 21/03 | 20h","https://bit.ly/MDAccula_2103_Sirius","ef8db98f-39a9-48db-9fb8-05b33ebc408c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1769597846008-iighbou.jpeg","Calendar","",1,true,1774134000,false,"2026-01-28T10:57:35.993008+00:00","2026-02-18T05:29:16.174342+00:00","🎟️ Compre pelo link:",false,80,"e6edd234-2c0b-483d-810c-1f4085dc1334",650,"","",false
"85b95c37-8a87-4390-a1fb-f0d586503dca","🐉 Warung Day Festival","https://bit.ly/MDAccula_0205_WarungDay","dc8b1140-4b65-40da-b47f-33722b603be0","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1768997418333-mqb10v.jpeg","Calendar","",2,true,1777734000,false,"2026-01-21T12:09:36.971148+00:00","2026-02-04T15:39:38.725044+00:00","🎟 Compre pelo link: ",false,80,"18fa3384-3422-4e17-8584-ae8f9c1f2f53",650,"","",false
"5b5db775-4d67-4e0b-b8d4-af59d2e1896f","Parador Pascoa apres. Departamento","https://bit.ly/MDAccula_0404_Parador","8f5bcf9f-8dc1-4f2f-b3b7-60d2f4f72816","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770822777177-icg75h.png","Calendar","",0,true,1775318400,false,"2026-02-11T15:13:06.22397+00:00","2026-02-14T15:21:20.176307+00:00","🎟️ Compre 5% OFF pelo link: ",false,80,"11d6a203-a0fa-4e27-8ba3-c40425a24bdd",650,"","",false
"cfb90dbe-10be-47be-a278-d825c29202af","Parador Pascoa - Pacote 2 Dias","https://bit.ly/MDAccula_Pascoa26_Parador","8f5bcf9f-8dc1-4f2f-b3b7-60d2f4f72816","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770822711233-xw2bkb.png","Calendar","",2,true,1775232000,false,"2026-02-11T15:12:00.471826+00:00","2026-02-19T00:45:58.357099+00:00","🎟️ Compre 5% OFF pelo link: ",false,80,"5147eeff-4994-4338-bfcc-2b12b856a55a",650,"","",false
"76348a46-05a5-40e6-bed5-d42a59edacc3","Surreal apres. Trotamundo + Bells","https://bit.ly/MDAccula_Surreal25","57ff6618-6288-42e7-aa04-55311db22f8b","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1767795271596-1i4gz.jpeg","Calendar","",1,true,1768615200,false,"2026-01-07T14:14:19.814008+00:00","2026-01-13T20:27:59.779898+00:00","🎟️ Compre 5% OFF pelo link: ",false,80,"a2b5edc1-7ffd-43cc-ab62-bc0bf592317b",650,"","",false
"95d570df-6787-4589-8f8b-e7eb79f37790","BOMA Carnario - Black Coffe","https://bit.ly/MDAccula_1402_BOMARJ","bd915876-c621-4710-b9d6-e67b06b8156c","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/link-thumbnails/d1e6e1c4-f719-494d-838d-1632e55e499e.jpeg","Calendar","",0,true,1771106400,false,"2026-01-15T12:54:48.999564+00:00","2026-02-11T15:19:25.200208+00:00","🎟 Compre com DESCONTO pelo link:",false,80,"2e5bd1ea-2533-444f-b49a-42a619380d86",650,"","",false
"00e2f1d1-0e3e-48cc-a11a-9b1919fb2fe9","D.EDGE apres. FreakChic","bit.ly/MDAccula_DEdge_listas","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/1770209103684-yvovw.png","Calendar","from-purple-500 to-pink-500",3,true,10,false,"2026-02-03T06:00:02.93643+00:00","2026-02-10T14:48:35.110857+00:00","📄 Listas VIP Fem / Consuma Masc pelo link: ",false,60,"cd47215c-a3da-429b-bad1-307c14651961",650,"","",false
"6cb7b3cd-ffd9-44f0-9849-dbeb5b768401","D.EDGE apres. FreakChic","bit.ly/MDAccula_DEdge_listas","dd88fff8-b138-44a3-bcf4-1139823049ac","https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v1/object/public/event-images/0.8762608676338589.webp","Calendar","from-purple-500 to-pink-500",0,false,15,false,"2026-02-10T06:00:05.097956+00:00","2026-02-10T14:48:36.252136+00:00","📄 Listas VIP Fem / Consuma Masc pelo link: ",false,60,"",650,"","",false
